Time	Step	attach
1562456988.699495	0	0.000000
1562456988.699495	0	0.000000
1562456989.245199	1	0.500000
1562456989.245199	1	0.500000
1562456989.710737	2	0.897059
1562456989.710737	2	0.897059
1562456990.200055	3	1.216678
1562456990.200055	3	1.216678
1562456990.766343	4	1.481448
1562456990.766343	4	1.481448
1562456991.232037	5	1.704955
1562456991.232037	5	1.704955
1562456991.763843	6	1.895965
1562456991.763843	6	1.895965
1562456992.297159	7	2.060586
1562456992.297159	7	2.060586
1562456992.669886	8	2.122321
1562456992.669886	8	2.122321
1562456993.166042	9	2.112338
1562456993.166042	9	2.112338
1562456993.681418	10	2.051411
1562456993.681418	10	2.051411
1562456994.197120	11	1.954103
1562456994.197120	11	1.954103
1562456994.701119	12	1.830973
1562456994.701119	12	1.830973
1562456995.179983	13	1.689852
1562456995.179983	13	1.689852
1562456995.724476	14	1.536647
1562456995.724476	14	1.536647
1562456996.201882	15	1.375854
1562456996.201882	15	1.375854
1562456996.732039	16	1.210920
1562456996.732039	16	1.210920
1562456997.214882	17	1.044493
1562456997.214882	17	1.044493
1562456997.717131	18	0.878607
1562456997.717131	18	0.878607
1562456998.227010	19	0.714814
1562456998.227010	19	0.714814
1562456998.769326	20	0.554294
1562456998.769326	20	0.554294
1562456999.250622	21	0.397926
1562456999.250622	21	0.397926
1562456999.765298	22	0.246356
1562456999.765298	22	0.246356
1562457000.258173	23	0.100041
1562457000.258173	23	0.100041
1562457000.775215	24	0.000000
1562457000.775215	24	0.000000
1562457001.277262	25	0.000000
1562457001.277262	25	0.000000
1562457001.803046	26	0.000000
1562457001.803046	26	0.000000
1562457002.298627	27	0.872017
1562457002.298627	27	0.872017
1562457002.827141	28	0.717323
1562457002.827141	28	0.717323
1562457003.307438	29	1.563214
1562457003.307438	29	1.563214
