Time	Step	move_to_dispenser
1563053117.512199	0	0.000000
1563053117.512199	0	0.000000
1563053118.330159	1	0.000000
1563053118.330159	1	0.000000
1563053118.801481	2	0.000000
1563053118.801481	2	0.000000
1563053119.300377	3	0.000000
1563053119.300377	3	0.000000
1563053119.772452	4	0.003400
1563053119.772452	4	0.003400
1563053120.227823	5	0.010084
1563053120.227823	5	0.010084
1563053120.617442	6	0.019309
1563053120.617442	6	0.019309
1563053121.070917	7	0.030341
1563053121.070917	7	0.030341
1563053121.545898	8	0.042572
1563053121.545898	8	0.042572
1563053122.082207	9	0.055526
1563053122.082207	9	0.055526
1563053122.594635	10	0.068837
1563053122.594635	10	0.068837
1563053123.089629	11	0.082228
1563053123.089629	11	0.082228
1563053123.622857	12	0.095488
1563053123.622857	12	0.095488
1563053124.130008	13	0.108461
1563053124.130008	13	0.108461
1563053124.645646	14	0.121034
1563053124.645646	14	0.121034
1563053125.159655	15	1.133126
1563053125.159655	15	1.133126
1563053125.718641	16	2.045929
1563053125.718641	16	2.045929
1563053126.120511	17	2.871388
1563053126.120511	17	2.871388
1563053126.552922	18	3.619938
1563053126.552922	18	3.619938
1563053127.069991	19	4.300715
1563053127.069991	19	4.300715
1563053127.581391	20	4.921725
1563053127.581391	20	4.921725
1563053128.103800	21	5.489553
1563053128.103800	21	5.489553
1563053128.554507	22	6.007004
1563053128.554507	22	6.007004
1563053129.089349	23	6.478479
1563053129.089349	23	6.478479
1563053129.591966	24	6.908061
1563053129.591966	24	6.908061
1563053130.093410	25	7.299467
1563053130.093410	25	7.299467
1563053130.615927	26	7.656089
1563053130.615927	26	7.656089
1563053131.118590	27	7.981014
1563053131.118590	27	7.981014
1563053131.604259	28	7.088769
1563053131.604259	28	7.088769
1563053132.116754	29	6.253609
1563053132.116754	29	6.253609
1563053132.631716	30	5.514550
