Time	activationThreshold
1562541675.265428	7.000000
1562541675.265428	7.000000
1562541675.939075	1.174405
1562541675.939075	1.174405
1562541676.954965	1.174405
1562541676.954965	1.174405
1562541677.965490	1.174405
1562541677.965490	1.174405
1562541678.974744	1.174405
1562541678.974744	1.174405
1562541679.990615	1.174405
1562541679.990615	1.174405
1562541680.992389	1.174405
1562541680.992389	1.174405
1562541681.989002	1.174405
1562541681.989002	1.174405
1562541682.999011	1.174405
1562541682.999011	1.174405
1562541684.002306	1.174405
1562541684.002306	1.174405
1562541685.016858	1.174405
1562541685.016858	1.174405
1562541686.025595	1.174405
1562541686.025595	1.174405
1562541687.035611	1.174405
1562541687.035611	1.174405
1562541688.056021	1.174405
1562541688.056021	1.174405
1562541689.057369	1.174405
1562541689.057369	1.174405
1562541689.988403	1.174405
1562541689.988403	1.174405
1562541690.992135	1.174405
1562541690.992135	1.174405
1562541692.001280	1.174405
1562541692.001280	1.174405
1562541693.000438	1.174405
1562541693.000438	1.174405
1562541694.007966	1.174405
1562541694.007966	1.174405
1562541695.016203	1.174405
1562541695.016203	1.174405
1562541696.038835	1.468006
1562541696.038835	1.468006
1562541697.042944	1.468006
1562541697.042944	1.468006
1562541698.057035	1.468006
1562541698.057035	1.468006
1562541699.069535	1.468006
1562541699.069535	1.468006
1562541700.053102	1.468006
1562541700.053102	1.468006
1562541701.061780	1.468006
1562541701.061780	1.468006
1562541702.070543	1.468006
1562541702.070543	1.468006
1562541703.078538	1.468006
1562541703.078538	1.468006
1562541704.084018	1.835008
1562541704.084018	1.835008
1562541705.101448	2.293760
1562541705.101448	2.293760
1562541706.092651	2.867200
1562541706.092651	2.867200
1562541707.095468	2.867200
1562541707.095468	2.867200
1562541708.105857	3.584000
1562541708.105857	3.584000
1562541710.113681	2.867200
1562541710.113681	2.867200
1562541711.126982	2.293760
1562541711.126982	2.293760
1562541712.136577	2.293760
1562541712.136577	2.293760
1562541713.138948	2.293760
1562541713.138948	2.293760
1562541714.153864	2.293760
1562541714.153864	2.293760
1562541715.141209	2.293760
1562541715.141209	2.293760
1562541716.155504	2.293760
1562541716.155504	2.293760
1562541717.149882	2.293760
1562541717.149882	2.293760
1562541718.158479	2.293760
1562541718.158479	2.293760
1562541719.166256	2.293760
1562541719.166256	2.293760
1562541720.173705	2.867200
1562541720.173705	2.867200
1562541721.174301	3.584000
1562541721.174301	3.584000
1562541722.232614	3.584000
1562541722.232614	3.584000
1562541723.180351	3.584000
1562541723.180351	3.584000
1562541724.186798	3.584000
1562541724.186798	3.584000
1562541725.242489	3.584000
1562541725.242489	3.584000
1562541726.182755	3.584000
1562541726.182755	3.584000
1562541727.204836	3.584000
1562541727.204836	3.584000
1562541728.203175	3.584000
1562541728.203175	3.584000
1562541729.208751	3.584000
1562541729.208751	3.584000
1562541730.216817	3.584000
1562541730.216817	3.584000
1562541731.218518	3.584000
1562541731.218518	3.584000
1562541732.242182	3.584000
1562541732.242182	3.584000
1562541733.228049	3.584000
1562541733.228049	3.584000
1562541734.256302	3.584000
1562541734.256302	3.584000
1562541735.255152	3.584000
1562541735.255152	3.584000
1562541736.240417	3.584000
1562541736.240417	3.584000
1562541737.261580	3.584000
1562541737.261580	3.584000
1562541738.264574	3.584000
1562541738.264574	3.584000
1562541739.256771	3.584000
1562541739.256771	3.584000
1562541740.258848	3.584000
1562541740.258848	3.584000
1562541741.262070	3.584000
1562541741.262070	3.584000
1562541742.293894	3.584000
1562541742.293894	3.584000
1562541743.285455	3.584000
1562541743.285455	3.584000
1562541744.291871	3.584000
1562541744.291871	3.584000
